code,1999/12/31,2000/12/31,2001/12/31,2002/12/31,2003/12/31,2004/12/31,2005/12/31,2006/12/31,2007/12/31,2008/12/31,2009/12/31,2010/12/31,2011/12/31,2012/12/31,2013/12/31,2014/12/31,2015/12/31,2016/12/31,2017/12/31,2018/12/31,ipo
000001.SZ,16.8816,13.261,9.6183,11.6886,10.4147,6.383,6.3868,22.6025,27.2057,4.1761,27.2887,23.2809,19.2441,16.9537,15.4724,16.2959,14.953,12.4283,10.9324,10.7415,1991
000002.SZ,11.2308,12.0511,12.3957,11.758,13.419,16.1049,18.6105,19.7768,21.916,13.1866,15.3888,17.8489,19.8042,21.493,21.4872,19.0784,19.2403,19.6815,22.7952,23.4175,1991
000004.SZ,9.5672,28.2566,12.0088,5.7751,3.9051,-4.1505,-15.0802,0.8414,-12.045,-16.6644,3.9554,17.069,4.0436,2.6249,-1.3431,4.8519,1.5416,38.8437,6.8476,-16.9897,1991
000005.SZ,12.4477,0.1151,-6.9962,-8.1442,0.2281,0.1862,-23.2434,-9.5068,11.8497,1.3896,-6.7274,-0.6426,1.7097,3.2818,-6.4829,6.6716,-6.0755,8.9385,1.1753,10.5847,1990
000006.SZ,8.6817,10.8527,9.7706,-0.6436,-18.4264,6.5904,10.6825,16.863,15.7922,9.0423,17.5935,21.0921,16.5086,19.7354,18.4428,12.3497,9.7743,16.5687,15.2396,14.8612,1992
000007.SZ,0.4891,-93.7937,13.7112,12.7202,6.931,-91.4863,10.0899,-463.0147,0,0,0,0,4.8244,2.3488,7.3504,-8.6036,3.8658,21.0954,4.3448,-67.9362,1992
000008.SZ,21.3629,18.9962,-449.4186,0,0,74.628,-7.4998,-2.5246,2.3245,1.0231,0.4284,1.2035,-0.7277,12.7314,4.1213,1.3688,10.6726,11.5699,13.2206,4.5088,1992
000009.SZ,2.5252,2.9275,3.2678,1.1615,1.1324,-10.4527,6.3602,10.3179,14.6266,11.6688,13.5694,14.4478,10.4952,5.6917,9.4462,9.3629,19.4651,5.2409,2.8125,4.1632,1991
000010.SZ,-38.5382,14.4649,1.1517,7.7458,4.2264,-9.224,-75.926,7.5186,-35.4831,21.1343,17.1804,-2.2275,10.1609,1.3371,0.9283,-12.7799,2.4577,1.8164,-62.9955,-92.9688,1995
000011.SZ,12.0335,24.8926,31.4056,11.1007,18.963,17.6382,13.2769,-7.3907,-4.7356,1.7297,15.7353,22.7918,25.6892,28.5123,18.2,21.5371,7.5139,15.7353,23.3664,18.9379,1992
