code,1998/12/31,1999/12/31,2000/12/31,2001/12/31,2002/12/31,2003/12/31,2004/12/31,2005/12/31,2006/12/31,2007/12/31,2008/12/31,2009/12/31,2010/12/31,2011/12/31,2012/12/31,2013/12/31,2014/12/31,2015/12/31,2016/12/31,2017/12/31,2018/12/31,ipo
000001.SZ,238,238,239,233,238,242,228,219,215,244,233,193,237,233,238,245,245,245,244,243,,1991
000002.SZ,238,237,236,234,240,243,213,236,236,244,243,241,243,238,227,246,236,123,239,243,,1991
000004.SZ,238,234,237,235,241,243,242,210,240,243,200,211,243,242,234,236,245,120,196,228,,1991
000005.SZ,239,238,239,237,240,242,242,191,201,244,242,241,78,171,239,243,147,245,244,243,,1990
000006.SZ,239,238,238,237,241,243,208,229,234,241,235,240,242,241,239,246,245,245,169,201,,1992
000007.SZ,238,238,234,233,238,242,242,214,227,209,241,234,233,230,231,174,115,114,64,190,,1992
000008.SZ,238,237,237,234,240,241,211,239,238,244,237,207,228,206,238,171,155,235,243,188,,1992
000009.SZ,238,237,238,237,241,242,227,223,239,200,237,239,237,240,235,187,212,245,244,243,,1991
000010.SZ,237,236,235,236,240,242,241,198,148,163,242,72,0,157,86,242,145,245,244,243,,1995
000011.SZ,239,236,238,237,239,242,231,140,234,223,214,219,243,242,239,246,245,245,244,243,,1992
000012.SZ,239,237,239,237,239,243,240,196,235,243,242,241,242,229,238,245,221,245,244,243,,1992
000014.SZ,239,238,226,228,239,239,233,210,187,225,241,241,242,242,239,246,245,245,244,243,,1992
000016.SZ,233,237,239,237,241,242,240,204,238,242,242,240,241,242,239,245,178,227,244,243,,1992
000017.SZ,238,236,237,236,239,240,239,239,5,0,0,184,237,205,1,243,245,226,231,243,,1992
000018.SZ,240,236,238,237,240,242,241,170,237,239,242,241,243,242,238,159,240,234,244,234,,1992
000019.SZ,239,239,239,238,241,243,243,216,133,244,242,219,223,220,228,246,245,245,155,175,,1992
000020.SZ,238,236,233,236,241,238,240,185,153,195,239,240,241,241,239,104,179,230,177,243,,1992
000021.SZ,239,238,238,237,241,241,237,200,235,242,240,240,241,241,238,245,226,245,243,243,,1994
000023.SZ,239,236,239,234,240,240,242,204,238,243,223,240,242,242,224,163,137,174,234,243,,1993
000025.SZ,239,236,235,236,240,242,214,238,200,243,241,242,244,242,239,231,239,241,238,243,,1993
000026.SZ,239,238,239,234,241,244,242,215,195,243,244,241,243,240,239,246,238,245,244,243,,1993
000027.SZ,240,238,239,236,240,242,240,180,238,241,242,240,240,201,239,246,245,245,244,243,,1993
000028.SZ,239,236,238,236,241,242,240,210,239,242,241,238,241,242,233,246,193,185,244,243,,1993
000029.SZ,239,237,238,236,240,242,232,213,241,244,232,241,244,241,239,246,245,174,0,0,,1993
000030.SZ,240,235,237,236,240,240,242,226,2,3,242,88,83,233,238,246,245,238,244,243,,1993
000031.SZ,240,238,238,235,241,240,232,218,217,217,243,240,243,242,239,246,245,242,134,168,,1993
000032.SZ,239,237,239,233,240,242,236,227,239,242,243,239,242,240,239,126,240,245,107,242,,1993
000034.SZ,237,235,235,231,241,243,240,224,236,171,227,76,243,241,228,246,121,166,103,151,,1994
000035.SZ,238,237,235,237,239,240,193,201,115,180,222,240,202,0,69,234,182,196,155,112,,1994
000036.SZ,238,235,239,237,236,208,239,205,236,238,242,239,244,241,205,241,238,245,244,243,,1994
000037.SZ,239,236,238,235,234,240,239,206,237,229,240,238,236,238,239,95,245,129,243,243,,1994
000038.SZ,239,237,234,234,238,242,240,238,77,0,0,0,0,0,212,246,134,131,120,119,,1994
000039.SZ,239,237,236,235,238,242,240,200,236,243,242,240,242,219,238,246,244,245,244,243,,1994
000040.SZ,239,239,239,237,240,241,235,215,239,243,242,237,186,241,239,246,172,224,230,243,,1994
000042.SZ,238,238,238,236,241,241,238,190,237,238,241,242,218,231,216,241,240,193,183,218,,1994
000043.SZ,239,238,239,237,241,242,241,176,235,234,221,239,239,237,239,246,245,176,244,243,,1994
000045.SZ,239,239,239,237,241,242,222,217,239,243,238,240,243,235,239,166,245,155,244,243,,1994
000046.SZ,239,237,237,236,240,242,240,203,231,240,239,240,241,241,239,239,234,239,244,186,,1994
000048.SZ,240,235,232,237,240,242,233,223,231,244,242,241,242,240,234,246,178,221,208,197,,1994
000049.SZ,238,239,237,235,238,169,215,240,239,245,242,239,243,211,239,246,244,245,244,243,,1995
000050.SZ,239,237,235,236,238,242,241,213,240,243,219,236,237,242,195,240,231,172,187,243,,1995
000055.SZ,238,238,238,237,240,242,242,214,238,244,241,240,242,232,239,239,239,245,244,243,,1996
000056.SZ,238,238,237,236,240,242,207,237,210,244,211,235,242,231,226,215,241,245,201,177,,1996
000058.SZ,239,237,238,234,239,241,241,218,216,240,242,242,36,97,239,238,199,206,242,243,,1996
000059.SZ,238,238,239,235,239,242,220,239,231,242,240,217,155,236,239,246,244,244,244,243,,1997
000060.SZ,238,237,238,236,241,243,206,233,241,239,242,240,240,242,239,240,240,244,244,243,,1997
000061.SZ,240,238,239,237,240,244,194,240,132,244,239,242,238,220,234,242,245,245,179,233,,1997
000062.SZ,240,237,239,236,241,243,241,218,240,228,240,241,244,242,239,213,189,234,237,243,,1997
000063.SZ,240,238,232,234,239,240,213,234,236,243,242,239,244,241,233,246,242,223,235,204,,1997
000065.SZ,238,237,239,234,241,242,220,239,215,242,237,242,240,241,239,227,193,193,244,243,,1998
000066.SZ,239,237,239,235,241,241,234,206,236,242,237,238,235,240,238,222,112,180,244,243,,1997
000068.SZ,239,237,237,233,238,242,241,238,168,235,217,239,36,91,231,240,133,244,244,243,,1997
000069.SZ,238,237,236,236,239,240,221,234,223,241,225,240,243,242,239,246,201,245,244,243,,1997
000070.SZ,0,161,239,237,241,242,208,236,201,242,242,241,237,240,239,173,167,245,244,243,,2000
000078.SZ,238,235,236,234,239,240,240,216,238,237,235,239,237,242,237,245,232,245,244,243,,1998
000088.SZ,239,236,237,236,240,242,240,203,241,243,243,242,239,174,239,246,245,245,244,243,,1997
000089.SZ,237,237,239,236,238,243,210,238,238,240,243,240,242,242,239,246,243,245,244,243,,1998
000090.SZ,111,237,238,237,237,242,213,228,236,244,239,240,243,240,232,208,238,245,244,243,,1999
000096.SZ,0,109,236,235,239,242,232,225,240,241,243,242,244,241,237,246,245,245,244,243,,2000
000099.SZ,0,105,237,235,239,241,235,227,239,244,242,242,242,240,239,246,245,245,121,243,,2000
000100.SZ,0,0,0,0,0,225,219,168,228,239,229,238,230,240,237,221,245,155,169,243,,2004
000150.SZ,0,100,234,234,236,241,239,207,148,225,244,218,243,241,239,140,125,226,244,243,,2000
000151.SZ,0,77,238,236,240,242,242,220,239,245,242,239,242,242,239,244,245,245,244,241,,2000
000153.SZ,0,68,238,235,240,240,221,230,234,243,244,239,244,239,229,192,168,171,127,243,,2000
000155.SZ,0,63,238,236,240,240,242,220,236,162,244,242,242,241,176,214,233,72,10,242,,2000
000156.SZ,0,78,237,236,237,239,239,55,0,0,0,0,0,43,239,211,244,245,240,128,,2000
000157.SZ,0,57,238,235,239,242,241,195,237,188,242,240,243,242,234,245,244,245,244,243,,2000
000158.SZ,0,110,238,236,239,243,217,232,234,243,242,241,243,242,239,179,234,245,244,234,,2000
000159.SZ,0,64,236,236,237,242,240,209,234,238,206,228,241,241,235,230,245,133,244,243,,2000
000166.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,237,227,243,,2015
000301.SZ,0,150,237,235,239,242,239,219,168,242,244,240,240,242,239,246,240,245,98,229,,2000
000333.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,237,242,235,244,214,,2013
000338.SZ,0,0,0,0,0,0,0,0,161,209,232,241,244,242,238,245,245,243,244,243,,2007
000400.SZ,238,238,239,237,241,242,222,233,166,175,222,236,243,186,233,246,245,245,244,243,,1997
000401.SZ,239,236,238,236,241,243,241,189,239,240,237,211,241,241,239,246,245,177,213,224,,1996
000402.SZ,239,235,236,230,240,238,240,210,237,239,242,242,243,242,239,243,245,245,244,243,,1996
000403.SZ,240,238,239,237,241,243,238,231,27,0,0,0,0,0,192,245,48,245,173,242,,1996
000404.SZ,237,237,239,235,241,239,239,216,219,244,242,236,238,236,239,246,245,242,238,243,,1996
000407.SZ,238,234,237,237,241,243,242,213,228,241,243,239,242,242,239,172,221,161,234,243,,1996
000408.SZ,238,237,238,235,241,243,241,186,224,55,242,232,241,241,229,117,222,244,238,218,,1996
000409.SZ,236,237,233,237,239,75,149,187,182,144,241,240,241,180,222,246,241,111,239,197,,1996
000410.SZ,239,238,239,235,239,242,241,212,221,243,238,238,240,238,239,246,213,240,234,242,,1996
000411.SZ,238,235,95,143,240,243,242,201,239,242,243,240,242,241,219,221,138,241,238,243,,1996
000413.SZ,238,236,238,237,241,243,242,163,226,242,243,235,220,240,237,213,220,238,199,243,,1996
000415.SZ,237,236,238,232,240,242,240,200,235,152,236,156,213,242,206,211,175,57,244,124,,1996
000416.SZ,239,237,234,235,240,239,242,219,238,242,234,241,242,241,239,217,147,227,244,243,,1996
000417.SZ,239,236,238,236,240,243,236,215,240,242,243,239,241,241,238,246,241,245,244,243,,1996
000419.SZ,239,238,237,236,240,241,242,225,241,245,243,240,238,241,238,246,245,245,244,243,,1996
000420.SZ,239,238,235,236,241,243,241,199,239,245,240,236,240,234,230,242,240,245,244,235,,1996
000421.SZ,239,238,238,236,241,242,203,188,234,242,241,241,244,242,239,206,235,245,244,243,,1996
