code,1999/12/31,2000/12/31,2001/12/31,2002/12/31,2003/12/31,2004/12/31,2005/12/31,2006/12/31,2007/12/31,2008/12/31,2009/12/31,2010/12/31,2011/12/31,2012/12/31,2013/12/31,2014/12/31,2015/12/31,2016/12/31,2017/12/31,2018/12/31,ipo
000001.SZ,3.438395415,0,0,1.42993327,1.762632197,0,0,0,0.014328363,0.272402017,0,0,0,0.624219725,0.867346939,1.098484848,1.276063386,1.736263736,1.022556391,1.545842217,1991
000002.SZ,0.932400932,1.072194425,1.348314607,2.072527578,1.351378527,0.633713561,2.093802592,0.869827821,0.328563983,0.968992248,0.46253469,0.851581509,1.338688086,1.284539478,2.239888793,3.601301031,2.943424453,3.844282238,2.897617514,0,1991
000004.SZ,0,0,0,0.333555704,0.357995227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
000005.SZ,0,0.25708144,0.202239237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
000006.SZ,2.114164905,0.757002271,1.793721973,1.591187271,1.523809524,0,1.756440281,1.342281879,1.338432122,1.014198783,0.706090026,1.147776184,1.125703566,0.621600622,1.931807206,1.673758865,1.042571677,1.904761905,1.837563452,3.764478764,1992
000007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
000008.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107296137,0.571428571,0.253645763,1992
000009.SZ,0,0,0,0,0,0,0,0,0,0,0.260213375,0.208706023,0.183486239,0,0.27605245,0.163353358,0.389755011,0.193050193,0.276625173,0.464037123,1991
000010.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
000011.SZ,0,0,0,0,0,0,0,0,0,0,0.095246194,0,0,0,0,2.204408818,0.550964187,0.961025093,1.786777844,3.267973856,1992
000012.SZ,0,0,1.183465243,1.459034792,2.040816327,2.057142857,3.607503608,1.636363636,1.619784042,1.65473128,0.510204082,1.043918933,3.864034804,2.181818182,1.842751843,5.624296963,2.247191011,0.881834215,0.591715976,1.227697528,1992
000014.SZ,0,0,0,0,0.448430493,0.570409982,0.451807229,0.322729368,0.031152648,0.226449276,0.193548387,0.326441785,0.714285714,0.235849057,0.243664717,0.137681159,0.162209557,0.072150072,0.092764378,0.710441335,1992
000016.SZ,2.911823365,2.429100633,2.496912601,0,0,0,0,0,1.126126126,0,0.650195059,0.210084034,0.316455696,0.316455696,0.259067358,0.166958168,0,0,2.673267327,3.086419753,1992
000017.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
000018.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560747664,0.653594771,0,1992
000019.SZ,0.97083486,0,0.823741007,0.521376434,0,0,0,0,0,0,0,0,0,0,2.635046113,0,0,0.308832613,0,1.400560224,1992
000020.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
000021.SZ,0.889626952,0.14858841,0.425894378,0.592300099,0.919117647,1.070663812,1.875,1.50060024,2.382370459,9.661835749,1.163692785,1.135718342,2.923976608,2.123142251,0.339658965,0.69637883,0.414593698,0.530222694,0.513874615,1.739130435,1994
000023.SZ,0.693787449,0.346749226,0.410381184,0,0,0,0,0,0.087108014,3.04855643,1.118367347,0.531990521,0,0.461538462,0.38071066,0.251572327,0.163773338,0.125904942,0.24354603,0,1993
000025.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
000026.SZ,2.4,0.709219858,0,0.302297461,0,0,0,0,0,2.06185567,0.765110941,0.485848952,0.545256271,1.246882793,1.335113485,0.961538462,0.700719835,0.729927007,1.751313485,0,1993
000027.SZ,1.282051282,2.024838955,0,4.000000003,1.651982379,3.816793893,4.444444444,6.00240096,0.785083542,4.42804428,0.737463127,2.973240833,1.366120219,1.672240803,1.818181818,1.792114695,2.038735984,2.183406114,1.320132013,0.952380952,1993
000028.SZ,0,0,0,0,0,0,0,0.517006803,0.4,0,0.361271676,0.303030303,0.56206089,0.368271955,0.388768898,0.419023675,0.453514739,0.598252761,0.497925311,0.965250965,1993
000029.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00619195,0,0,1.790510295,1993
000030.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.183431953,1.470588235,2.352941176,2.466091245,4.043126685,1993
000031.SZ,1.523809295,0,0,0,0.881057269,2.766251729,0,0.7230658,0,0.520833333,0.17809439,0.321027287,0.526315789,0.688073394,0.808625337,0.413711584,0.284697509,0.448430493,0.6875,4.879055927,1993
000032.SZ,0,0.368833564,0.54377379,0.713045677,2.124946876,1.731601732,1.581027668,2.306079665,1.132075472,1.953125,1.969872538,1.02145046,1.391304348,0,2.076124567,0.454545455,0.078125,0.133868809,0.198807157,1.13960114,1993
000034.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175925926,1.881040892,1994
000035.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
000036.SZ,0,0,1.418439716,0,0,0,1.347708895,0,0,0,0,0,0,0,0,0,0,3.566869451,5.530973451,10.8892922,1994
000037.SZ,1.988636364,1.693693694,0.36267179,3.147208122,2.890571232,3.942712721,9.360242065,0,0,0.857632935,0,0,0,0,0,0,0,0,0,0,1994
000038.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21574973,1.925854598,0,1994
000039.SZ,1.176470581,0.715819609,0.750187542,2.334267066,0,1.064545047,4.232142481,1.833622853,1.384595569,8.064516129,1.145038168,0.521966072,2.723735409,3.989592368,1.547779273,1.43265357,1.048067336,0.411000601,1.18357156,5.200458276,1994
000040.SZ,0.513478819,0,0,0,0,0,0,0,0,0,0,0,0,0.590551181,0.959232614,0.304414003,0.066979236,0.113913751,0.291814947,1.037344398,1994
000042.SZ,1.125175809,0.883392226,1.12528132,1.342975207,1.043024772,1.147227533,0.677506775,0,0.77955825,3.424657534,0.089565607,0.864553314,4.363636364,1.990049751,2.03125,0.978473581,0.956479926,0.395256917,1.23228589,0.891265597,1994
000043.SZ,0,0.638162093,0.673967987,0,1.533742331,1.18623962,1.474926254,1.082251082,0.735548768,5.112474438,0.330469266,0,1.587301587,1.358695652,1.647446458,1.118568233,0.415627598,0.57096248,1.029866117,4.010695187,1994
000045.SZ,0,0,0,0,0,1.666666667,1.123595506,1.19047619,0,0,0.363372093,0,0,0,0,0,0,0,0,0,1994
000046.SZ,0,0,0.926130099,1.501501502,1.912045889,0.513136289,0.699105147,0,0,0.57008547,0.348918353,1.113585746,0.578703704,1.111111111,2.227171492,1.516683519,1.362776722,1.614639397,2.010723861,3.211991435,1994
000048.SZ,0,0.10957223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
000049.SZ,0,0,0,0,0,0,0,0,0.886524829,0,0,0,0.480538206,2.126267598,0.427350427,0.664010624,0.264177527,0.594530321,0.631472594,0.871687587,1995
000050.SZ,1.207115629,0.392772977,1.04561194,1.340482574,0,0,1.680672269,0.465116279,1.230718348,2.17155266,0,0,0,0,0.531443756,0.521920668,0.350213792,0.318809777,0.519157004,0.713557594,1995
000055.SZ,1.2218715,0,1.045158304,1.052631579,0.987306065,0.356294537,0,0,0,0,0,0,0,0,0.531914894,0.295566502,0.695410292,2.567865004,2.475247525,5,1996
000056.SZ,0,0.388500389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301500257,0.211536998,1996
000058.SZ,0,0.450714412,0,0,0,2.04379562,0,0,0,1.243781095,0.297619048,0,0,0,0,0,0.253164557,0.499773053,0.743243243,0.588235294,1996
000059.SZ,0,5.457025921,0,0,0,0,0,0,0.509960159,0.628683694,0,0.345125108,0,1.468428781,0,0,0,1.882352941,0,4.208754209,1997
000060.SZ,0,0.70323488,2.919708029,0,0.827586207,1.650165017,2.022653722,0.374967971,1.391048196,3.168498168,0.340501792,0.080286738,0.186933358,0.79558011,0.71656051,0.339060074,0.071275837,0.269058296,2.506714414,2.02020202,1997
000061.SZ,0,1.154193132,1.519756839,1.324503311,1.725327813,0,1.162790698,0,0,0.539334666,0.635700967,0.567859171,0.986547085,0.97465887,0.593824228,0.381679389,0.282645562,0.404203719,0.652741514,0.206185567,1997
