code,1999/12/31,2000/12/31,2001/12/31,2002/12/31,2003/12/31,2004/12/31,2005/12/31,2006/12/31,2007/12/31,2008/12/31,2009/12/31,2010/12/31,2011/12/31,2012/12/31,2013/12/31,2014/12/31,2015/12/31,2016/12/31,2017/12/31,2018/12/31,ipo
000001.SZ,93.6758,92.951,96.9801,97.7324,97.7282,97.7068,97.7266,97.5153,96.3107,96.5431,96.5177,95.3941,94.0087,94.7216,94.0752,94.0109,93.5584,93.1547,93.1644,92.9783,1991
000002.SZ,52.2476,47.2516,51.7797,58.2944,54.9243,59.4163,60.9809,65.0369,66.1125,67.4441,67.0017,74.6861,77.0997,78.3163,77.997,77.2046,77.7015,80.5367,83.9813,84.5856,1991
000004.SZ,68.3617,76.21,46.0723,52.9541,46.014,42.7696,35.8844,46.0546,42.4184,49.1793,61.0368,29.8574,29.4935,23.2528,40.3239,53.4754,59.0402,20.3456,31.5247,47.7966,1991
000005.SZ,52.7206,58.385,43.2965,46.3339,47.9576,50.9352,59.8387,53.9245,48.9759,45.8645,46.7575,47.796,47.6484,48.3142,47.4831,50.9964,44.704,46.3708,51.7747,49.404,1990
000006.SZ,66.0477,66.6313,68.7292,71.5047,73.3698,72.105,56.0089,51.3726,67.7418,71.6675,69.8577,70.1421,65.2855,62.0165,57.9972,64.142,64.6151,61.0499,56.5648,52.8236,1992
000007.SZ,69.9469,85.5058,82.979,77.3324,76.3461,90.9256,87.2991,100.9298,101.1334,112.2615,114.9899,109.8531,19.342,62.4158,46.2754,47.4294,22.3847,14.9962,11.8029,49.6443,1992
000008.SZ,58.273,57.2953,132.1407,146.2868,49.4502,19.7632,24.9367,6.9084,7.429,7.4786,7.6589,4.5319,4.3705,11.8931,10.0605,11.2276,18.9809,24.6583,32.6949,29.251,1992
000009.SZ,72.6548,70.0563,67.8623,69.1098,69.2499,68.9813,64.9825,64.1246,59.1281,58.9999,60.2092,62.953,65.0402,64.3669,62.8798,62.8934,63.8202,62.3791,63.3121,64.9896,1991
000010.SZ,63.1757,52.5425,43.6982,52.2747,60.2121,59.8615,79.1249,68.5744,53.2469,64.6314,63.8654,59.742,60.644,60.2239,35.8152,31.4128,57.818,54.3325,62.0116,81.9505,1995
000011.SZ,91.3703,88.7544,87.3626,87.0435,80.5425,76.2667,65.249,64.2177,69.9376,72.9266,76.6335,69.9635,67.6791,61.9304,53.4334,46.5632,52.0347,63.7636,45.8117,42.5931,1992
000012.SZ,37.0978,33.0891,30.314,33.5463,37.3424,48.1675,50.8313,56.5427,49.3006,53.6142,48.5852,45.7945,52.1906,49.3004,44.2868,42.7561,49.144,52.5907,55.057,50.5634,1992
000014.SZ,89.1176,87.4071,72.3245,66.8176,69.7302,75.0282,64.8903,63.0419,66.2307,74.3529,71.9721,64.7874,66.3812,68.6526,64.9425,67.6601,64.3892,57.5952,47.6437,50.4366,1992
000016.SZ,62.1911,61.5045,56.2602,54.5333,65.8813,64.1335,61.9856,63.9433,64.3463,61.7391,69.7358,74.3477,74.9408,74.3593,72.8132,74.3884,78.4184,80.7546,65.2011,71.3465,1992
000017.SZ,92.4403,98.3024,452.122,487.0939,479.3673,636.056,707.1038,753.6812,942.9048,1044.3048,1196.6728,1371.1421,1339.6917,1150.9686,94.9187,73.7887,70.8077,68.0489,74.3597,76.8163,1992
000018.SZ,18.7609,29.8465,21.0731,18.0081,20.1988,35.2758,41.5455,32.6846,25.7033,32.1194,28.6865,27.6472,31.68,31.6993,26.9328,29.7661,68.1256,77.0794,80.6291,97.2347,1992
000019.SZ,38.4482,32.0259,18.2292,36.2227,46.0485,48.5979,41.1281,37.9278,21.5707,27.9769,41.3914,43.3623,16.2047,17.7289,24.3113,13.9418,9.743,10.9292,10.0181,32.9474,1992
000020.SZ,36.1117,35.8989,35.4153,38.6274,41.9417,45.9548,38.6259,41.4586,35.2331,44.5208,66.7058,63.2778,58.566,58.8963,62.581,75.8028,73.0405,49.4528,49.0804,47.5007,1992
000021.SZ,42.0565,39.8947,50.0332,54.7199,42.848,33.5572,32.8799,21.2392,32.2148,20.02,27.1815,32.8237,58.2013,59.178,63.8573,65.0302,63.6919,54.7908,64.2835,58.9001,1994
000023.SZ,62.326,64.9752,76.7058,67.7747,66.5904,64.5386,74.3785,67.6011,62.6924,69.0112,70.8031,66.1815,68.4301,66.5814,69.1395,71.1966,71.4821,69.9066,75.4666,78.1529,1993
000025.SZ,73.9222,87.1354,78.799,81.2318,80.9876,74.9824,67.7414,76.1251,75.3154,69.5731,68.0975,66.6757,64.7128,68.8234,70.9393,74.9071,24.8214,23.5883,28.881,33.7101,1993
000026.SZ,28.16,23.0114,18.04,8.7518,8.7489,16.3873,12.9414,25.2642,37.772,52.8519,51.7553,47.1559,51.8694,56.4416,56.759,55.2603,45.7733,40.6989,31.0582,28.6011,1993
000027.SZ,48.5199,42.321,40.4237,32.3409,25.7084,30.9688,27.6775,45.66,43.8178,53.4477,48.1501,43.5322,46.2982,45.7686,43.5835,47.0503,57.1741,59.2068,67.9887,67.6944,1993
000028.SZ,16.0903,17.484,67.4062,68.2027,65.5118,57.6692,63.2876,84.3911,82.1899,82.3731,83.2209,82.0599,81.3874,80.2164,79.0499,62.1854,57.8883,58.1754,55.569,51.9335,1993
000029.SZ,64.7639,62.3411,70.8201,65.7809,58.8011,60.8023,54.4432,53.3034,49.6933,47.162,63.8325,61.5344,56.7289,59.4074,58.8383,53.5301,47.2851,33.5385,32.3178,31.4014,1993
000030.SZ,93.6463,91.8676,320.7699,850.2144,488.2694,608.241,4307.5377,5519.0551,6133.5368,9695.9314,4193.9386,2945.3997,96.9146,106.6952,40.2571,34.5046,34.3888,36.35,38.9791,38.9844,1993
000031.SZ,38.0058,32.4066,36.115,31.4878,30.6753,37.241,32.1003,39.1196,39.1569,63.7839,51.3593,69.6077,78.1679,77.9611,77.9069,76.9711,79.961,81.5795,84.4959,84.9079,1993
000032.SZ,65.993,67.7093,66.6851,48.2279,43.594,49.5315,49.976,49.3002,55.1232,41.3141,44.8143,46.1773,44.7662,38.0335,32.395,27.4148,29.0364,20.752,18.6046,29.5935,1993
000034.SZ,93.481,71.0367,71.3763,72.1015,76.7111,117.0267,152.1781,181.2432,376.1876,714.3951,634.7709,65.0283,58.9127,53.8522,71.9504,64.1221,58.2597,84.4418,86.1665,85.1975,1994
000035.SZ,49.8785,74.0982,84.96,84.4449,84.8363,368.2497,399.5835,389.9385,356.9104,329.516,327.2723,301.9497,292.2788,703.4338,-19.4698,50.4266,57.9366,65.617,62.5057,62.6002,1994
000036.SZ,54.35,58.2851,65.2494,59.0202,50.5777,28.234,70.3449,75.7827,80.142,53.6554,44.1038,47.908,40.477,43.0298,39.5484,45.4282,58.4915,58.6168,41.7036,50.0599,1994
000037.SZ,40.8888,46.5083,37.281,41.3715,37.4776,50.711,59.8564,62.3959,66.3922,61.1732,58.2695,63.3932,65.3787,68.8802,66.9176,72.7446,88.0147,53.6181,29.8029,38.4122,1994
000038.SZ,42.3187,26.3643,24.6205,42.3694,50.2127,51.5389,63.4538,324.5846,1042.7707,57.5838,67.6062,64.2323,69.7332,68.2689,70.3714,78.5173,79.2083,20.0153,6.498,12.8576,1994
000039.SZ,67.4741,60.2372,50.1066,55.2344,39.8354,50.6831,39.7342,45.9799,56.5698,56.7842,57.6357,64.5179,66.4184,64.8892,66.2616,68.9185,66.7536,68.5954,66.8943,67.0181,1994
000040.SZ,40.9808,45.0155,45.8917,63.0707,65.0589,56.6793,55.4129,50.6766,49.8439,59.4995,64.1099,61.3091,47.7982,59.3918,68.3762,70.2902,80.4167,36.5806,60.0067,57.6703,1994
000042.SZ,58.9668,59.8079,64.7935,65.8847,68.587,67.7664,50.2436,59.6111,64.5092,68.6198,68.0323,64.8746,64.6232,61.3915,61.6542,79.6201,77.1898,79.9012,84.2186,83.3525,1994
000043.SZ,59.268,61.6141,70.5181,63.4879,57.9788,68.2462,66.9629,73.3146,56.0218,63.3892,67.7765,70.257,69.3301,72.0261,76.7877,79.297,79.4793,78.246,75.9415,63.0899,1994
000045.SZ,56.9901,52.9598,51.6163,50.4975,40.2522,35.79,32.7173,33.5077,34.5222,26.2577,38.5411,18.6933,24.2557,30.7152,19.4236,22.1956,26.7673,16.4936,16.0336,25.1066,1994
000046.SZ,38.0344,50.7113,48.3815,55.1451,65.242,58.7554,63.326,51.167,45.4089,56.3166,60.2118,62.6553,63.8528,71.0283,76.3096,82.3456,87.189,85.1677,85.357,86.5957,1994
000048.SZ,61.5806,84.2001,93.9828,93.8073,93.6217,92.2174,101.7809,126.1141,115.7706,110.7679,100.0441,106.3076,64.2663,59.2418,63.6463,69.5063,58.659,57.8484,81.8492,76.3554,1994
000049.SZ,48.8891,55.9544,68.3133,58.5805,59.2952,62.6804,64.3976,61.5682,67.4799,65.3792,73.4349,67.2747,69.8867,75.0595,80.6481,80.3558,64.7971,70.8479,76.1753,74.3297,1995
000050.SZ,35.5626,43.023,18.4597,36.0586,41.1292,50.1001,40.7777,34.8942,51.3285,60.2524,67.5933,68.7552,63.75,60.8351,58.8088,45.4445,38.7465,36.5342,51.1848,56.6855,1995
000055.SZ,10.5551,19.345,38.3035,47.2952,59.0395,61.3731,64.8528,58.6796,50.3713,55.0492,51.8206,45.0407,46.746,50.2397,53.22,64.4927,70.1165,66.0779,57.5245,51.2594,1996
000056.SZ,64.3349,60.7166,63.3398,65.023,64.9585,81.813,70.5693,79.4463,80.8284,86.8018,90.9556,109.7388,125.1697,120.1861,55.5532,62.8363,37.4701,48.2337,59.1611,56.1924,1996
000058.SZ,50.2354,45.749,56.2002,54.1992,52.0739,50.7736,52.0537,52.0886,20.6745,15.9902,18.6105,19.9613,20.9863,21.1593,32.7471,43.7772,35.7337,30.9922,63.0906,65.6307,1996
000059.SZ,44.1376,41.2831,44.02,48.2108,51.4617,51.901,59.9404,60.8136,36.8114,64.0793,70.9956,75.0634,73.5552,77.4421,74.5773,72.5987,69.1936,64.6672,59.1054,57.6934,1997
000060.SZ,72.8417,74.3872,75.7734,74.8833,74.6424,73.2312,67.793,60.163,51.2439,50.9598,59.4227,61.38,52.5585,49.5988,56.1427,54.0798,50.3239,51.5829,44.8532,45.0591,1997
